"name","orig_name","state","county1","orig_county","established","discontinued","continuous","stamp_index","id","coordinates","duration","gnis_match","gnis_name","gnis_county","gnis_state","gnis_feature_id","gnis_feature_class","gnis_orig_name","gnis_orig_county","gnis_latitude","gnis_longitude","gnis_elev_in_m","gnis_dist","latitude","longitude","duration_category"
"ASHLEY PHOSPHATE","ASHLEY PHOSPHATE","SC","CHARLESTON","Charleston",1889,1909,TRUE,4,1980,TRUE,20,TRUE,"ASHLEY PHOSPHATE","CHARLESTON","SC",1220256,"Locale","Ashley Phosphate","Charleston",32.9301735,-80.0592558,9,1,32.9301735,-80.0592558,"1-50"
"ASPALAGA","ASPALAGA","FL","GADSDEN","Gadsden",1825,1898,FALSE,4,2035,TRUE,73,TRUE,"ASPALAGA","GADSDEN","FL",295097,"Locale","Aspalaga Landing","Gadsden",30.6182489,-84.9076971,16,NA,30.6182489,-84.9076971,"50-100"
"ATHENIA","ATHENIA","NJ","PASSAIC","Passaic",1883,1925,TRUE,2,2096,TRUE,42,TRUE,"ATHENIA","PASSAIC","NJ",874412,"Populated Place","Athenia","Passaic",40.8667661,-74.1543105,35,1,40.8667661,-74.1543105,"1-50"
"ATLANTA","ATLANTA (CH)","GA","FULTON","Fulton",1845,NA,FALSE,0,2144,TRUE,150,TRUE,"ATLANTA","FULTON","GA",2792344,"Post Office","Atlanta Post Office","Fulton",33.6517916,-84.3920548,301,1,33.6517916,-84.3920548,">=100"
"ATWOOD","ATWOOD","PA","ARMSTRONG","Armstrong",1868,1932,TRUE,2,2208,TRUE,64,TRUE,"ATWOOD","ARMSTRONG","PA",1168495,"Populated Place","Atwood","Armstrong",40.7547867,-79.2664279,374,1,40.7547867,-79.2664279,"50-100"
"AUDUBON","AUDUBON","PA","MONTGOMERY","Montgomery",1899,1962,TRUE,1,2257,TRUE,63,TRUE,"AUDUBON","MONTGOMERY","PA",2779961,"Post Office","Audubon Post Office","Montgomery",40.1275755,-75.4347227,54,1,40.1275755,-75.4347227,"50-100"
"AUSTERLITZ","AUSTERLITZ","NY","COLUMBIA","Columbia",1818,NA,TRUE,0,2314,TRUE,150,TRUE,"AUSTERLITZ","COLUMBIA","NY",2795560,"Post Office","Austerlitz Post Office","Columbia",42.3098351,-73.4730565,341,1,42.3098351,-73.4730565,">=100"
"AVENTINA","AVENTINA","FL","MIAMI-DADE","Dade",1916,1924,TRUE,3,2375,TRUE,8,TRUE,"AVENTURA","MIAMI-DADE","FL",2078825,"Post Office","Aventura Post Office","Miami-Dade",25.9691763,-80.1297659,2,0.75,25.9691763,-80.1297659,"1-50"
"AVONDALE","AVONDALE","AL","JEFFERSON","Jefferson",1886,1902,TRUE,5,2429,TRUE,16,TRUE,"AVONDALE","JEFFERSON","AL",113310,"Populated Place","Avondale","Jefferson",33.5217717,-86.778045,196,1,33.5217717,-86.778045,"1-50"
"AYRES","AYRES","AL","JEFFERSON","Jefferson",1878,1901,TRUE,5,2484,TRUE,23,TRUE,"AYRES","JEFFERSON","AL",156009,"Populated Place","Ayres","Jefferson",33.7314895,-86.5635978,317,1,33.7314895,-86.5635978,"1-50"
"BAGGETT'S","BAGGETT'S","TN","ROBERTSON","Robertson",1847,1849,TRUE,9,2560,TRUE,2,TRUE,"BAGGETT","ROBERTSON","TN",1276081,"Cemetery","Baggett Cemetery","Robertson",36.493094,-86.7794362,197,0.777777777777778,36.493094,-86.7794362,"1-50"
"BAIRDSVILLE","BAIRDSVILLE","NY","ONEIDA","Oneida",1832,1833,TRUE,9,2633,TRUE,1,TRUE,"LAIRDSVILLE","ONEIDA","NY",954893,"Populated Place","Lairdsville","Oneida",43.0797917,-75.4315617,220,0.909090909090909,43.0797917,-75.4315617,"<=1"
"BALD EAGLE","BALD EAGLE","PA","CLINTON","Clinton",1827,1839,TRUE,7,2691,TRUE,12,TRUE,"BALD EAGLE","CLINTON","PA",1216253,"Civil","Township of Bald Eagle","Clinton",41.1438372,-77.5513222,505,NA,41.1438372,-77.5513222,"1-50"
"BALL POINT","BALL POINT","TN","GRAINGER","Grainger",1875,1902,TRUE,5,2749,TRUE,27,TRUE,"BALL POINT","GRAINGER","TN",1314621,"Populated Place","Ball Point","Grainger",36.411199,-83.3607329,347,1,36.411199,-83.3607329,"1-50"
"BALTZER","BALTZER","MS","SUNFLOWER","Sunflower",1913,1956,TRUE,1,2804,TRUE,43,TRUE,"BALTZER","SUNFLOWER","MS",666498,"Populated Place","Baltzer","Sunflower",33.982056,-90.5948187,44,1,33.982056,-90.5948187,"1-50"
"BANNER","BANNER","MO","IRON","Iron",1924,1956,TRUE,1,2867,TRUE,32,TRUE,"BANNER","IRON","MO",748661,"Populated Place","Banner","Iron",37.6969924,-90.8345721,315,1,37.6969924,-90.8345721,"1-50"
"BARCLAY","BARCLAY","PA","BRADFORD","Bradford",1866,1911,FALSE,4,2934,TRUE,45,TRUE,"BARCLAY","BRADFORD","PA",1203020,"Populated Place","Barclay","Bradford",41.6559085,-76.6263386,579,1,41.6559085,-76.6263386,"1-50"
"BARKING","BARKING","PA","ALLEGHENY","Allegheny",1921,NA,TRUE,0,2993,TRUE,150,TRUE,"BARKING","ALLEGHENY","PA",1168714,"Populated Place","Barking","Allegheny",40.5328454,-79.7819926,233,1,40.5328454,-79.7819926,">=100"
"BARNESVILLE","BARNESVILLE","AL","MARION","Marion",1855,1907,FALSE,4,3056,TRUE,52,TRUE,"BARNESVILLE","MARION","AL",157886,"Populated Place","Barnesville","Marion",34.1398246,-88.0778135,162,1,34.1398246,-88.0778135,"50-100"
"BARREN","BARREN","MO","CARTER","Carter",1887,1932,TRUE,2,3109,TRUE,45,TRUE,"BARREN","CARTER","MO",740402,"Populated Place","Barren (historical)","Carter",36.82811,-91.0142947,141,1,36.82811,-91.0142947,"1-50"
"BARTLETT","BARTLETT","MO","SHANNON","Shannon",1888,1941,TRUE,2,3181,TRUE,53,TRUE,"BARTLETT","SHANNON","MO",748694,"Populated Place","Bartlett","Shannon",37.0047748,-91.4143024,321,1,37.0047748,-91.4143024,"50-100"
"BASILE","BASILE","LA","EVANGELINE","Evangeline",1909,NA,TRUE,0,3242,TRUE,150,TRUE,"BASILE","EVANGELINE","LA",1630283,"Post Office","Basile Post Office","Evangeline",30.4832546,-92.5973857,14,1,30.4832546,-92.5973857,">=100"
"BATESVILLE","BATESVILLE","MO","BUTLER","Butler",1902,1910,TRUE,4,3313,TRUE,8,TRUE,"BATESVILLE","BUTLER","MO",713732,"Populated Place","Batesville","Butler",36.6989448,-90.2462149,98,1,36.6989448,-90.2462149,"1-50"
"BAUSMAN","BAUSMAN","PA","LANCASTER","Lancaster",1889,NA,TRUE,0,3378,TRUE,150,TRUE,"BAUSMAN","LANCASTER","PA",2779624,"Post Office","Bausman Post Office","Lancaster",40.0233112,-76.3273218,125,1,40.0233112,-76.3273218,">=100"
"BAY VIEW","BAY VIEW","FL","PINELLAS","Pinellas",1875,1909,TRUE,3,3439,TRUE,34,TRUE,"BAYVIEW","PINELLAS","FL",278257,"Populated Place","Bayview","Pinellas",27.9597428,-82.7109335,4,0.875,27.9597428,-82.7109335,"1-50"
"BAYVIEW","BAYVIEW","ME","YORK","York",1880,1918,TRUE,2,3508,TRUE,38,TRUE,"BAYVIEW","YORK","ME",561747,"Populated Place","Bayview","York",43.4878627,-70.386994,1,1,43.4878627,-70.386994,"1-50"
"BEALS","BEALS","ME","WASHINGTON","Washington",1902,NA,TRUE,0,3567,TRUE,150,TRUE,"BEALS","WASHINGTON","ME",2768925,"Post Office","Beals Post Office","Washington",44.5192928,-67.6118854,7,1,44.5192928,-67.6118854,">=100"
"BEARLAKE","BEARLAKE","PA","WARREN","Warren",1895,1905,TRUE,5,3631,TRUE,10,TRUE,"BEAR LAKE","WARREN","PA",2779944,"Post Office","Bear Lake Post Office","Warren",41.9931287,-79.5026304,472,0.875,41.9931287,-79.5026304,"1-50"
"BEAVER","BEAVER","VT","FRANKLIN","Franklin",1892,1901,TRUE,6,3682,TRUE,9,TRUE,"BEAVER","FRANKLIN","VT",1456342,"Cemetery","Beaver Cemetery","Franklin",44.7257142,-73.0478044,173,1,44.7257142,-73.0478044,"1-50"
"BECK","BECK","MO","JEFFERSON","Jefferson",1900,1905,TRUE,5,3743,TRUE,5,TRUE,"BECK","JEFFERSON","MO",713842,"Populated Place","Beck","Jefferson",38.4117207,-90.3828968,177,1,38.4117207,-90.3828968,"1-50"
"BEE RIDGE","BEE RIDGE","MO","KNOX","Knox",1851,1876,FALSE,6,3823,TRUE,25,TRUE,"BEE RIDGE","KNOX","MO",2777501,"Cemetery","Bee Ridge Cemetery","Knox",40.0811439,-92.0635082,234,1,40.0811439,-92.0635082,"1-50"
"BEECHVIEW","BEECHVIEW","PA","ALLEGHENY","Allegheny",1906,1909,TRUE,5,3885,TRUE,3,TRUE,"BEECHVIEW","ALLEGHENY","PA",1169117,"Populated Place","Beechview","Allegheny",40.4106249,-80.0247758,352,1,40.4106249,-80.0247758,"1-50"
"BELCHER","BELCHER","AR","WHITE","White",1898,1916,TRUE,4,3940,TRUE,18,TRUE,"BELCHER","WHITE","AR",56924,"Populated Place","Belcher","White",35.081755,-91.6020779,63,1,35.081755,-91.6020779,"1-50"
"BELL CITY","BELL CITY","MO","STODDARD","Stoddard",1890,1997,TRUE,1,3995,TRUE,107,TRUE,"BELL CITY","STODDARD","MO",2783108,"Post Office","Bell City Post Office","Stoddard",37.0239589,-89.8192614,101,1,37.0239589,-89.8192614,">=100"
"BELLEDEAU","BELLEDEAU","LA","AVOYELLES","Avoyelles",1916,1929,TRUE,3,4048,TRUE,13,TRUE,"BELLEDEAU","AVOYELLES","LA",542977,"Populated Place","Belledeau","Avoyelles",31.0843553,-92.1917942,24,1,31.0843553,-92.1917942,"1-50"
"BELLOWSVILLE","BELLOWSVILLE","PA","BEAVER","Beaver",1874,1902,TRUE,4,4102,TRUE,28,TRUE,"BELLOWSVILLE","BEAVER","PA",1201633,"Populated Place","Bellowsville","Beaver",40.6717326,-80.3320074,240,1,40.6717326,-80.3320074,"1-50"
"BELMONT","BELMONT","MS","TISHOMINGO","Tishomingo",1873,NA,TRUE,0,4155,TRUE,150,TRUE,"BELMONT","TISHOMINGO","MS",2768698,"Post Office","Belmont Post Office","Tishomingo",34.5082696,-88.2082587,174,1,34.5082696,-88.2082587,">=100"
"BEMUS HEIGHTS","BEMUS HEIGHTS","NY","SARATOGA","Saratoga",1834,1929,TRUE,2,4208,TRUE,95,TRUE,"BEMUS HEIGHTS","SARATOGA","NY",943646,"Populated Place","Bemus Heights","Saratoga",42.9711878,-73.6334505,31,1,42.9711878,-73.6334505,"50-100"
"BENNETT","BENNETT","NY","ALLEGANY","Allegany",1884,1903,TRUE,6,4279,TRUE,19,TRUE,"BENNETTS","ALLEGANY","NY",972222,"Populated Place","Bennetts","Allegany",42.3211791,-77.9416689,486,0.857142857142857,42.3211791,-77.9416689,"1-50"
"BENTOAK","BENTOAK","MS","LOWNDES","Lowndes",1898,1908,TRUE,5,4348,TRUE,10,TRUE,"BENTOAK","LOWNDES","MS",666833,"Populated Place","Bentoak","Lowndes",33.4387317,-88.5428221,73,1,33.4387317,-88.5428221,"1-50"
"BERGHOLTZ","BERGHOLTZ","NY","NIAGARA","Niagara",1848,1901,TRUE,4,4401,TRUE,53,TRUE,"BERGHOLTZ","NIAGARA","NY",943727,"Populated Place","Bergholtz","Niagara",43.1031119,-78.9067059,177,1,43.1031119,-78.9067059,"50-100"
"BERNARDSVILLE","BERNARDSVILLE","NJ","MERCER","Mercer",1841,1843,TRUE,9,4475,TRUE,2,TRUE,"BERNARDSVILLE","MERCER","NJ",881558,"Populated Place","Bernardsville","Mercer",40.2967741,-74.8668312,18,1,40.2967741,-74.8668312,"1-50"
"BERTHA","BERTHA","PA","WASHINGTON","Washington",1921,1941,TRUE,2,4538,TRUE,20,TRUE,"BERTHA","WASHINGTON","PA",1203071,"Populated Place","Bertha","Washington",40.3775689,-80.432288,328,1,40.3775689,-80.432288,"1-50"
"BETHANY","BETHANY","AL","PICKENS","Pickens",1876,1917,TRUE,4,4603,TRUE,41,TRUE,"BETHANY","PICKENS","AL",135466,"Locale","Bethany (historical)","Pickens",33.1015127,-88.08808,89,1,33.1015127,-88.08808,"1-50"
"BETHESDA","BETHESDA","PA","LANCASTER","Lancaster",1857,1904,TRUE,4,4653,TRUE,47,TRUE,"BETHESDA","LANCASTER","PA",1214426,"Post Office","Bethesda Post Office (historical)","Lancaster",39.8459355,-76.3038475,202,1,39.8459355,-76.3038475,"1-50"
"BEVERLY","BEVERLY","MO","PLATTE","Platte",1946,1960,TRUE,1,4711,TRUE,14,TRUE,"BEVERLY","PLATTE","MO",740676,"Populated Place","Beverly","Platte",39.3680547,-94.8671847,237,1,39.3680547,-94.8671847,"1-50"
"BIENVILLE","BIENVILLE","LA","BIENVILLE","Bienville",1890,NA,TRUE,0,4772,TRUE,150,TRUE,"BIENVILLE","BIENVILLE","LA",533017,"Populated Place","Bienville","Bienville",32.3568222,-92.9804375,74,1,32.3568222,-92.9804375,">=100"
"BIG ROCK","BIG ROCK","TN","STEWART","Stewart",1878,NA,TRUE,0,4845,TRUE,150,TRUE,"BIG ROCK","STEWART","TN",1649744,"Post Office","Big Rock Post Office","Stewart",36.5813382,-87.759524,162,1,36.5813382,-87.759524,">=100"
"BILBREY","BILBREY","TN","PUTNAM","Putnam",1902,1912,TRUE,4,4912,TRUE,10,TRUE,"BILBREY","PUTNAM","TN",1314683,"Populated Place","Bilbrey","Putnam",36.1736742,-85.3324706,555,1,36.1736742,-85.3324706,"1-50"
"BINNACLE","BINNACLE","TN","CHEATHAM","Cheatham",1882,1882,TRUE,8,4967,TRUE,0,TRUE,"PINNACLE","CHEATHAM","TN",1297677,"Populated Place","Pinnacle","Cheatham",36.3500509,-86.9397226,229,0.875,36.3500509,-86.9397226,"<=1"
"BIRMINGHAM","BIRMINGHAM","PA","HUNTINGDON","Huntingdon",1817,1958,TRUE,1,5032,TRUE,141,TRUE,"BIRMINGHAM","HUNTINGDON","PA",1169666,"Populated Place","Birmingham","Huntingdon",40.6478421,-78.1952892,297,1,40.6478421,-78.1952892,">=100"
"BLACK CREEK","BLACK CREEK","AL","CHOCTAW","Choctaw",1857,1866,TRUE,8,5104,TRUE,9,TRUE,"BLACK CREEK","CHOCTAW","AL",114421,"Church","Black Creek Baptist Church","Choctaw",31.7884892,-88.2511248,50,NA,31.7884892,-88.2511248,"1-50"
"BLACK WARRIOR","BLACK WARRIOR","AL","TUSCALOOSA","Tuscaloosa",1818,1822,TRUE,8,5174,TRUE,4,TRUE,"BLACK WARRIOR","TUSCALOOSA","AL",153742,"Populated Place","Black Warrior Town","Tuscaloosa",33.2098407,-87.5691735,69,NA,33.2098407,-87.5691735,"1-50"
"BLACKVILLE","BLACKVILLE","SC","BARNWELL","Barnwell",1834,NA,TRUE,0,5236,TRUE,150,TRUE,"BLACKVILLE","BARNWELL","SC",1252199,"Post Office","Blackville Post Office","Barnwell",33.3553211,-81.2696272,89,1,33.3553211,-81.2696272,">=100"
"BLAIR CITY","BLAIR CITY","PA","CLEARFIELD","Clearfield",1876,1877,TRUE,5,5294,TRUE,1,TRUE,"BLAIN CITY","CLEARFIELD","PA",1169782,"Populated Place","Blain City","Clearfield",40.756451,-78.5330784,428,0.9,40.756451,-78.5330784,"<=1"
"BLAND","BLAND('S)","AR","SALINE","Saline",1846,1928,FALSE,2,5366,TRUE,82,TRUE,"BLAND","SALINE","AR",65939,"Populated Place","Bland","Saline",34.687036,-92.6879424,145,1,34.687036,-92.6879424,"50-100"
"BLEWFORD","BLEWFORD","AR","WASHINGTON","Washington",1897,1902,TRUE,6,5427,TRUE,5,TRUE,"BLEWFORD","WASHINGTON","AR",84746,"Post Office","Blewford Post Office (historical)","Washington",36.1681349,-94.3140983,339,1,36.1681349,-94.3140983,"1-50"
"BLOOMFIELD","BLOOMFIELD","VT","ESSEX","Essex",1832,1916,FALSE,3,5499,TRUE,84,TRUE,"BLOOMFIELD","ESSEX","VT",1456483,"Populated Place","Bloomfield","Essex",44.7539383,-71.6323114,275,1,44.7539383,-71.6323114,"50-100"
"BLOSSOM","BLOSSOM","SC","FLORENCE","Florence",1887,1914,TRUE,4,5546,TRUE,27,TRUE,"BLOSSOM","FLORENCE","SC",1242322,"Populated Place","Blossom","Florence",33.9465515,-79.5725602,19,1,33.9465515,-79.5725602,"1-50"
"BLUE MOUNTAIN","BLUE MOUNTAIN (1)","AL","CALHOUN","Calhoun",1860,1871,FALSE,7,5604,TRUE,11,TRUE,"BLUE MOUNTAIN","CALHOUN","AL",2789019,"Post Office","Blue Mountain Post Office","Calhoun",33.6877176,-85.8246064,261,1,33.6877176,-85.8246064,"1-50"
"BLUFF SPRINGS","BLUFF SPRINGS","MS","ATTALA","Attala",1849,1867,TRUE,6,5666,TRUE,18,TRUE,"BLUFF SPRINGS","ATTALA","MS",710839,"Populated Place","Bluff Springs (historical)","Attala",33.0334629,-89.7348035,96,1,33.0334629,-89.7348035,"1-50"
"BOB","BOB","LA","GRANT","Grant",1907,1927,TRUE,3,5724,TRUE,20,TRUE,"BOB","GRANT","LA",545748,"Populated Place","Bob","Grant",31.4760113,-92.2737445,22,1,31.4760113,-92.2737445,"1-50"
"BOGOTA","BOGOTA","NJ","BERGEN","Bergen",1895,1901,TRUE,4,5790,TRUE,6,TRUE,"BOGOTA","BERGEN","NJ",2054387,"Post Office","Bogota Post Office","Bergen",40.8783944,-74.0301041,20,1,40.8783944,-74.0301041,"1-50"
"BOLIVAR","BOLIVAR","NY","ALLEGANY","Allegany",1825,NA,TRUE,0,5848,TRUE,150,TRUE,"BOLIVAR","ALLEGANY","NY",2617824,"Post Office","Bolivar Post Office","Allegany",42.0671606,-78.1678211,486,1,42.0671606,-78.1678211,">=100"
"BOND","BOND","AL","SUMTER","Sumter",1907,1915,TRUE,4,5906,TRUE,8,TRUE,"BOYD","SUMTER","AL",114788,"Populated Place","Boyd","Sumter",32.6195797,-88.304197,50,0.75,32.6195797,-88.304197,"1-50"
"BONO","BONO","AR","CRAIGHEAD","Craighead",1884,NA,TRUE,0,5975,TRUE,150,TRUE,"BONO","CRAIGHEAD","AR",2781840,"Post Office","Bono Post Office","Craighead",35.9103556,-90.8027442,80,1,35.9103556,-90.8027442,">=100"
"BOOTH","BOOTH","SC","HORRY","Horry",1900,1904,TRUE,5,6031,TRUE,4,TRUE,"BOOTH","HORRY","SC",1227870,"Populated Place","Booth","Horry",33.9504469,-79.0597588,26,1,33.9504469,-79.0597588,"1-50"
"BOSCO","BOSCO","LA","OUACHITA","Ouachita",1896,1971,TRUE,1,6082,TRUE,75,TRUE,"BOSCO","OUACHITA","LA",553755,"Populated Place","Bosco","Ouachita",32.2901506,-92.0890239,22,1,32.2901506,-92.0890239,"50-100"
"BOUDREAUX","BOUDREAUX","LA","TERREBONNE","Terrebonne",1901,1915,TRUE,4,6150,TRUE,14,TRUE,"BOUDREAUX","TERREBONNE","LA",543013,"Populated Place","Boudreaux","Terrebonne",29.414942,-90.7000895,0,1,29.414942,-90.7000895,"1-50"
"BOWEN","BOWEN","MS","GRENADA","Grenada",1869,1872,TRUE,7,6212,TRUE,3,TRUE,"BOWEN","GRENADA","MS",683051,"Locale","Bowen (historical)","Grenada",33.7334505,-89.6611934,105,1,33.7334505,-89.6611934,"1-50"
